Journal Name,,Publisher,,Platform,ISSN,eISSN,Metric,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,TOTAL
Total for all journals,,,,,,,Article Views,255365,273724,212656,104806,97826,123071,226561,317088,314858,220434,194657,238865,44640,2624551
Total for all journals,,,,,,,PDF Downloads,178011,186459,143242,78099,73094,88219,121362,174975,166680,118655,126831,145103,25812,1626542
African Arts,,"James S. Coleman African Studies Center, University of California, Los Angeles",,JSTOR,0001-9933,,Article Views,7799,10811,7927,3243,2813,3678,6064,10481,9947,6534,4864,6522,1363,82046
African Arts,,"James S. Coleman African Studies Center, University of California, Los Angeles",,JSTOR,0001-9933,,PDF Downloads,5768,6905,5218,2441,2264,2746,3448,5077,5956,3097,7776,3786,824,55306
Assemblage,,MIT Press,,JSTOR,0889-3012,,Article Views,2651,2569,1958,1202,1053,1303,2367,3313,3417,2233,2387,3006,540,27999
Assemblage,,MIT Press,,JSTOR,0889-3012,,PDF Downloads,3015,2562,1519,1034,858,1199,1730,2203,1980,1399,1679,2483,1184,22845
Baffler,,Baffler Foundation,,JSTOR,1059-9789,2164-926X,Article Views,1527,1663,1158,516,396,368,836,1349,1416,998,2047,1745,323,14342
Baffler,,Baffler Foundation,,JSTOR,1059-9789,2164-926X,PDF Downloads,835,845,608,320,205,228,342,522,477,459,634,592,108,6175
Computer Music Journal,,MIT Press,,JSTOR,0148-9267,1531-5169,Article Views,2847,2738,2311,1293,1343,1393,2156,3458,3146,2412,2302,2516,470,28385
Computer Music Journal,,MIT Press,,JSTOR,0148-9267,1531-5169,PDF Downloads,1824,1580,1284,875,952,792,934,1387,1359,1279,1202,1128,222,14818
Daedalus,,American Academy of Arts & Sciences,,JSTOR,0011-5266,,Article Views,39701,41031,32576,16388,15940,21242,54779,42140,41291,33694,27302,33441,5721,405246
Daedalus,,American Academy of Arts & Sciences,,JSTOR,0011-5266,,PDF Downloads,20699,22182,15929,8799,8596,10088,14488,19803,18746,13759,13949,15061,2738,184837
Design Issues,,MIT Press,,JSTOR,0747-9360,1531-4790,Article Views,7778,7792,6156,3340,3153,4583,6691,9034,8430,5361,6579,8175,1443,78515
Design Issues,,MIT Press,,JSTOR,0747-9360,1531-4790,PDF Downloads,5114,4597,4785,2382,2560,3458,3980,4457,4092,3541,3886,5131,696,48679
Education Finance and Policy,,MIT Press,,JSTOR,1557-3060,1557-3079,Article Views,541,590,471,317,266,183,537,767,718,433,419,723,103,6068
Education Finance and Policy,,MIT Press,,JSTOR,1557-3060,1557-3079,PDF Downloads,440,415,309,274,253,139,280,370,304,168,190,404,68,3614
Grey Room,,MIT Press,,JSTOR,1526-3819,1536-0105,Article Views,2905,3090,2355,1245,1065,1398,2603,3746,3747,2535,2314,2896,512,30411
Grey Room,,MIT Press,,JSTOR,1526-3819,1536-0105,PDF Downloads,2385,2824,1863,1043,982,1228,1738,2257,2087,1508,2288,1799,304,22306
International Organization,,Cambridge University Press; MIT Press; University of Wisconsin Press,,JSTOR,0020-8183,1531-5088,Article Views,31042,32371,27172,12245,12169,16761,29039,48194,44619,30272,27983,34084,6281,352232
International Organization,,Cambridge University Press; MIT Press; University of Wisconsin Press,,JSTOR,0020-8183,1531-5088,PDF Downloads,26553,26525,21657,11734,10727,14571,22643,33850,29667,20555,21519,23618,4434,268053
International Security,,MIT Press,,JSTOR,0162-2889,1531-4804,Article Views,33628,33704,29170,12030,10525,14230,26972,47459,45805,31266,28855,31257,5972,350873
International Security,,MIT Press,,JSTOR,0162-2889,1531-4804,PDF Downloads,27331,26513,21561,9866,8908,11808,19930,32168,28276,19620,20094,20194,3887,250156
Journal of Interdisciplinary History,,MIT Press,,JSTOR,0022-1953,1530-9169,Article Views,15065,16024,11824,6023,5315,6400,13669,22767,22335,14107,13382,17534,3092,167537
Journal of Interdisciplinary History,,MIT Press,,JSTOR,0022-1953,1530-9169,PDF Downloads,10233,10946,7761,4066,3806,4460,7159,10595,10107,6518,7800,8901,1531,93883
Leonardo,,MIT Press,,JSTOR,0024-094X,1530-9282,Article Views,13310,13992,9916,4679,4778,5804,10160,15802,16534,10270,9708,12604,2540,130097
Leonardo,,MIT Press,,JSTOR,0024-094X,1530-9282,PDF Downloads,8837,10157,6786,3720,3351,4034,4942,7170,7083,4644,5544,14025,1144,81437
Leonardo Music Journal,,MIT Press,,JSTOR,0961-1215,1531-4812,Article Views,1737,1791,1231,673,533,574,1172,1749,1960,1205,1156,1374,241,15396
Leonardo Music Journal,,MIT Press,,JSTOR,0961-1215,1531-4812,PDF Downloads,1536,1267,1020,598,451,426,753,924,935,783,619,759,141,10212
Leonardo. Supplemental Issue,,MIT Press,,JSTOR,1748-7331,,Article Views,234,197,149,47,58,91,141,238,211,171,143,151,28,1859
Leonardo. Supplemental Issue,,MIT Press,,JSTOR,1748-7331,,PDF Downloads,155,140,91,59,56,100,81,142,98,88,149,106,14,1279
Linguistic Inquiry,,MIT Press,,JSTOR,0024-3892,1530-9150,Article Views,5174,5647,4554,2851,2552,5231,3482,5384,5973,4317,4178,4539,797,54679
Linguistic Inquiry,,MIT Press,,JSTOR,0024-3892,1530-9150,PDF Downloads,4261,5320,3644,3410,2123,4148,2710,4062,4579,3374,3080,2947,641,44299
New England Quarterly,,"New England Quarterly, Inc.",,JSTOR,0028-4866,,Article Views,16771,19558,12199,5979,6223,6417,16056,24169,24899,15951,11585,17817,3156,180780
New England Quarterly,,"New England Quarterly, Inc.",,JSTOR,0028-4866,,PDF Downloads,9699,10696,6875,3878,3722,4006,6092,8659,8819,5979,5049,6347,1137,80958
October,,MIT Press,,JSTOR,0162-2870,1536-013X,Article Views,19570,19926,15480,8109,7865,9453,14386,21821,22377,15746,15251,16565,3244,189793
October,,MIT Press,,JSTOR,0162-2870,1536-013X,PDF Downloads,13950,13970,12926,6177,5760,7400,8899,12181,12717,9191,10089,12269,2049,127578
PAJ: A Journal of Performance and Art,,"Performing Arts Journal, Inc",,JSTOR,1520-281X,1537-9477,Article Views,5742,6872,4618,2078,1879,2213,3922,6517,7038,4698,3994,4906,982,55459
PAJ: A Journal of Performance and Art,,"Performing Arts Journal, Inc",,JSTOR,1520-281X,1537-9477,PDF Downloads,3656,4251,3195,1762,1488,1454,1923,2725,2978,2118,2040,4035,478,32103
Review of Economics and Statistics,,MIT Press,,JSTOR,0034-6535,1530-9142,Article Views,30102,32193,26637,16413,14107,14799,19479,27861,28856,21781,17523,22235,4561,276547
Review of Economics and Statistics,,MIT Press,,JSTOR,0034-6535,1530-9142,PDF Downloads,20682,21837,17015,11468,11936,11412,13347,17624,17191,13434,12840,14050,2797,185633
TDR (1988-),,MIT Press,,JSTOR,1054-2043,1531-4715,Article Views,17241,21165,14794,6135,5793,6950,12050,20839,22139,16450,12685,16775,3271,176287
TDR (1988-),,MIT Press,,JSTOR,1054-2043,1531-4715,PDF Downloads,11038,12927,9196,4193,4096,4522,5943,8799,9229,7141,6404,7468,1415,92371