"YEAR","MONTH","RESOURCE TYPE","RESOURCE ID","ISSN/ISBN","RESOURCE","RESOURCE URL","RESOURCE LAUNCH","AUTHOR","FORMAT","REQUESTS"
2018,7,"journal",165,"1531-328x","The Harvard International Journal of...","http://muse.jhu.edu/journal/165","1999-07-01",,"html",43
2018,7,"journal",165,"1531-328x","The Harvard International Journal of...","http://muse.jhu.edu/journal/165","1999-07-01",,"pdf",17
2018,7,"journal",193,"1531-4715","TDR: The Drama Review","http://muse.jhu.edu/journal/193","1999-08-01",,"html",1135
2018,7,"journal",193,"1531-4715","TDR: The Drama Review","http://muse.jhu.edu/journal/193","1999-08-01",,"pdf",740
2018,7,"journal",209,"1530-9177","The Washington Quarterly","http://muse.jhu.edu/journal/209","1999-12-01",,"html",211
2018,7,"journal",209,"1530-9177","The Washington Quarterly","http://muse.jhu.edu/journal/209","1999-12-01",,"pdf",182
2018,7,"journal",219,"1536-0091","Global Environmental Politics","http://muse.jhu.edu/journal/219","2003-04-17",,"html",1108
2018,7,"journal",219,"1536-0091","Global Environmental Politics","http://muse.jhu.edu/journal/219","2003-04-17",,"pdf",1061
2018,7,"journal",554,"1558-2485","Innovations: Technology, Governance, Globalization","http://muse.jhu.edu/journal/554","2012-07-11",,"html",104
2018,7,"journal",554,"1558-2485","Innovations: Technology, Governance, Globalization","http://muse.jhu.edu/journal/554","2012-07-11",,"pdf",99
2018,7,"journal",675,"1937-2108","African Arts","http://muse.jhu.edu/journal/675","2016-05-04",,"html",60
2018,7,"journal",675,"1937-2108","African Arts","http://muse.jhu.edu/journal/675","2016-05-04",,"pdf",72
2018,8,"journal",3,"1536-0075","The American Journal of Bioethics","http://muse.jhu.edu/journal/3","2002-02-01",,"html",138
2018,8,"journal",3,"1536-0075","The American Journal of Bioethics","http://muse.jhu.edu/journal/3","2002-02-01",,"pdf",127
2018,8,"journal",34,"1531-5169","Computer Music Journal","http://muse.jhu.edu/journal/34","2001-03-01",,"html",263
2018,8,"journal",34,"1531-5169","Computer Music Journal","http://muse.jhu.edu/journal/34","2001-03-01",,"pdf",358
2018,8,"journal",43,"1531-3298","Journal of Cold War Studies","http://muse.jhu.edu/journal/43","1999-01-01",,"html",1851
2018,8,"journal",43,"1531-3298","Journal of Cold War Studies","http://muse.jhu.edu/journal/43","1999-01-01",,"pdf",992
2018,8,"journal",83,"1531-5088","International Organization","http://muse.jhu.edu/journal/83","2002-02-01",,"html",52
2018,8,"journal",83,"1531-5088","International Organization","http://muse.jhu.edu/journal/83","2002-02-01",,"pdf",38
2018,8,"journal",84,"1531-4804","International Security","http://muse.jhu.edu/journal/84","2001-03-01",,"html",8302
2018,8,"journal",84,"1531-4804","International Security","http://muse.jhu.edu/journal/84","2001-03-01",,"pdf",10064
2018,8,"journal",94,"1530-9169","Journal of Interdisciplinary History","http://muse.jhu.edu/journal/94","1999-05-01",,"html",1725
2018,8,"journal",94,"1530-9169","Journal of Interdisciplinary History","http://muse.jhu.edu/journal/94","1999-05-01",,"pdf",830
2018,8,"journal",116,"1530-9282","Leonardo","http://muse.jhu.edu/journal/116","2001-02-01",,"html",2571
2018,8,"journal",116,"1530-9282","Leonardo","http://muse.jhu.edu/journal/116","2001-02-01",,"pdf",2520
2018,8,"journal",117,"1530-9150","Linguistic Inquiry","http://muse.jhu.edu/journal/117","2000-10-01",,"html",263
2018,8,"journal",117,"1530-9150","Linguistic Inquiry","http://muse.jhu.edu/journal/117","2000-10-01",,"pdf",758
2018,8,"journal",119,"1531-4812","Leonardo Music Journal","http://muse.jhu.edu/journal/119","2000-12-01",,"html",271
2018,8,"journal",119,"1531-4812","Leonardo Music Journal","http://muse.jhu.edu/journal/119","2000-12-01",,"pdf",341
2018,8,"journal",149,"1537-9477","PAJ: A Journal of Performance and Art","http://muse.jhu.edu/journal/149","1996-01-01",,"html",916
2018,8,"journal",149,"1537-9477","PAJ: A Journal of Performance and Art","http://muse.jhu.edu/journal/149","1996-01-01",,"pdf",606
2018,8,"journal",163,"1530-9274","Perspectives on Science","http://muse.jhu.edu/journal/163","1998-04-01",,"html",278
2018,8,"journal",163,"1530-9274","Perspectives on Science","http://muse.jhu.edu/journal/163","1998-04-01",,"pdf",239
2018,8,"journal",165,"1531-328x","The Harvard International Journal of...","http://muse.jhu.edu/journal/165","1999-07-01",,"html",41
2018,8,"journal",165,"1531-328x","The Harvard International Journal of...","http://muse.jhu.edu/journal/165","1999-07-01",,"pdf",21
2018,8,"journal",193,"1531-4715","TDR: The Drama Review","http://muse.jhu.edu/journal/193","1999-08-01",,"html",1190
2018,8,"journal",193,"1531-4715","TDR: The Drama Review","http://muse.jhu.edu/journal/193","1999-08-01",,"pdf",884
2018,8,"journal",209,"1530-9177","The Washington Quarterly","http://muse.jhu.edu/journal/209","1999-12-01",,"html",266
2018,8,"journal",209,"1530-9177","The Washington Quarterly","http://muse.jhu.edu/journal/209","1999-12-01",,"pdf",263
2018,8,"journal",219,"1536-0091","Global Environmental Politics","http://muse.jhu.edu/journal/219","2003-04-17",,"html",1366
2018,8,"journal",219,"1536-0091","Global Environmental Politics","http://muse.jhu.edu/journal/219","2003-04-17",,"pdf",1134
2018,8,"journal",554,"1558-2485","Innovations: Technology, Governance, Globalization","http://muse.jhu.edu/journal/554","2012-07-11",,"html",36
2018,8,"journal",554,"1558-2485","Innovations: Technology, Governance, Globalization","http://muse.jhu.edu/journal/554","2012-07-11",,"pdf",22
2018,8,"journal",675,"1937-2108","African Arts","http://muse.jhu.edu/journal/675","2016-05-04",,"html",67
2018,8,"journal",675,"1937-2108","African Arts","http://muse.jhu.edu/journal/675","2016-05-04",,"pdf",47
2018,9,"journal",3,"1536-0075","The American Journal of Bioethics","http://muse.jhu.edu/journal/3","2002-02-01",,"html",264
2018,9,"journal",3,"1536-0075","The American Journal of Bioethics","http://muse.jhu.edu/journal/3","2002-02-01",,"pdf",166
2018,9,"journal",34,"1531-5169","Computer Music Journal","http://muse.jhu.edu/journal/34","2001-03-01",,"html",454
2018,9,"journal",34,"1531-5169","Computer Music Journal","http://muse.jhu.edu/journal/34","2001-03-01",,"pdf",257
2018,9,"journal",43,"1531-3298","Journal of Cold War Studies","http://muse.jhu.edu/journal/43","1999-01-01",,"html",2702
2018,9,"journal",43,"1531-3298","Journal of Cold War Studies","http://muse.jhu.edu/journal/43","1999-01-01",,"pdf",1241
2018,9,"journal",83,"1531-5088","International Organization","http://muse.jhu.edu/journal/83","2002-02-01",,"html",60
2018,9,"journal",83,"1531-5088","International Organization","http://muse.jhu.edu/journal/83","2002-02-01",,"pdf",47
2018,9,"journal",84,"1531-4804","International Security","http://muse.jhu.edu/journal/84","2001-03-01",,"html",15131
2018,9,"journal",84,"1531-4804","International Security","http://muse.jhu.edu/journal/84","2001-03-01",,"pdf",17695
2018,9,"journal",94,"1530-9169","Journal of Interdisciplinary History","http://muse.jhu.edu/journal/94","1999-05-01",,"html",3231
2018,9,"journal",94,"1530-9169","Journal of Interdisciplinary History","http://muse.jhu.edu/journal/94","1999-05-01",,"pdf",1422
2018,9,"journal",116,"1530-9282","Leonardo","http://muse.jhu.edu/journal/116","2001-02-01",,"html",3535
2018,9,"journal",116,"1530-9282","Leonardo","http://muse.jhu.edu/journal/116","2001-02-01",,"pdf",3505
2018,9,"journal",117,"1530-9150","Linguistic Inquiry","http://muse.jhu.edu/journal/117","2000-10-01",,"html",419
2018,9,"journal",117,"1530-9150","Linguistic Inquiry","http://muse.jhu.edu/journal/117","2000-10-01",,"pdf",1068
2018,9,"journal",119,"1531-4812","Leonardo Music Journal","http://muse.jhu.edu/journal/119","2000-12-01",,"html",500
2018,9,"journal",119,"1531-4812","Leonardo Music Journal","http://muse.jhu.edu/journal/119","2000-12-01",,"pdf",611
2018,9,"journal",149,"1537-9477","PAJ: A Journal of Performance and Art","http://muse.jhu.edu/journal/149","1996-01-01",,"html",1243
2018,9,"journal",149,"1537-9477","PAJ: A Journal of Performance and Art","http://muse.jhu.edu/journal/149","1996-01-01",,"pdf",1075
2018,9,"journal",163,"1530-9274","Perspectives on Science","http://muse.jhu.edu/journal/163","1998-04-01",,"html",409
2018,9,"journal",163,"1530-9274","Perspectives on Science","http://muse.jhu.edu/journal/163","1998-04-01",,"pdf",265
2018,9,"journal",165,"1531-328x","The Harvard International Journal of...","http://muse.jhu.edu/journal/165","1999-07-01",,"html",55
2018,9,"journal",165,"1531-328x","The Harvard International Journal of...","http://muse.jhu.edu/journal/165","1999-07-01",,"pdf",27
2018,9,"journal",193,"1531-4715","TDR: The Drama Review","http://muse.jhu.edu/journal/193","1999-08-01",,"html",1964
2018,9,"journal",193,"1531-4715","TDR: The Drama Review","http://muse.jhu.edu/journal/193","1999-08-01",,"pdf",1353
2018,9,"journal",209,"1530-9177","The Washington Quarterly","http://muse.jhu.edu/journal/209","1999-12-01",,"html",322
2018,9,"journal",209,"1530-9177","The Washington Quarterly","http://muse.jhu.edu/journal/209","1999-12-01",,"pdf",392
2018,9,"journal",219,"1536-0091","Global Environmental Politics","http://muse.jhu.edu/journal/219","2003-04-17",,"html",2549
2018,9,"journal",219,"1536-0091","Global Environmental Politics","http://muse.jhu.edu/journal/219","2003-04-17",,"pdf",1818
2018,9,"journal",554,"1558-2485","Innovations: Technology, Governance, Globalization","http://muse.jhu.edu/journal/554","2012-07-11",,"html",58
2018,9,"journal",554,"1558-2485","Innovations: Technology, Governance, Globalization","http://muse.jhu.edu/journal/554","2012-07-11",,"pdf",32
2018,9,"journal",675,"1937-2108","African Arts","http://muse.jhu.edu/journal/675","2016-05-04",,"html",126
2018,9,"journal",675,"1937-2108","African Arts","http://muse.jhu.edu/journal/675","2016-05-04",,"pdf",77
2018,10,"journal",3,"1536-0075","The American Journal of Bioethics","http://muse.jhu.edu/journal/3","2002-02-01",,"html",382
2018,10,"journal",3,"1536-0075","The American Journal of Bioethics","http://muse.jhu.edu/journal/3","2002-02-01",,"pdf",156
2018,10,"journal",34,"1531-5169","Computer Music Journal","http://muse.jhu.edu/journal/34","2001-03-01",,"html",670
2018,10,"journal",34,"1531-5169","Computer Music Journal","http://muse.jhu.edu/journal/34","2001-03-01",,"pdf",395
2018,10,"journal",43,"1531-3298","Journal of Cold War Studies","http://muse.jhu.edu/journal/43","1999-01-01",,"html",4868
2018,10,"journal",43,"1531-3298","Journal of Cold War Studies","http://muse.jhu.edu/journal/43","1999-01-01",,"pdf",3889
2018,10,"journal",83,"1531-5088","International Organization","http://muse.jhu.edu/journal/83","2002-02-01",,"html",265
2018,10,"journal",83,"1531-5088","International Organization","http://muse.jhu.edu/journal/83","2002-02-01",,"pdf",187
2018,10,"journal",84,"1531-4804","International Security","http://muse.jhu.edu/journal/84","2001-03-01",,"html",15508
2018,10,"journal",84,"1531-4804","International Security","http://muse.jhu.edu/journal/84","2001-03-01",,"pdf",19550
2018,10,"journal",94,"1530-9169","Journal of Interdisciplinary History","http://muse.jhu.edu/journal/94","1999-05-01",,"html",4465
2018,10,"journal",94,"1530-9169","Journal of Interdisciplinary History","http://muse.jhu.edu/journal/94","1999-05-01",,"pdf",1710
2018,10,"journal",116,"1530-9282","Leonardo","http://muse.jhu.edu/journal/116","2001-02-01",,"html",4181
2018,10,"journal",116,"1530-9282","Leonardo","http://muse.jhu.edu/journal/116","2001-02-01",,"pdf",4525
2018,10,"journal",117,"1530-9150","Linguistic Inquiry","http://muse.jhu.edu/journal/117","2000-10-01",,"html",605
2018,10,"journal",117,"1530-9150","Linguistic Inquiry","http://muse.jhu.edu/journal/117","2000-10-01",,"pdf",1228
2018,10,"journal",119,"1531-4812","Leonardo Music Journal","http://muse.jhu.edu/journal/119","2000-12-01",,"html",760
2018,10,"journal",119,"1531-4812","Leonardo Music Journal","http://muse.jhu.edu/journal/119","2000-12-01",,"pdf",463
2018,10,"journal",149,"1537-9477","PAJ: A Journal of Performance and Art","http://muse.jhu.edu/journal/149","1996-01-01",,"html",1658
2018,10,"journal",149,"1537-9477","PAJ: A Journal of Performance and Art","http://muse.jhu.edu/journal/149","1996-01-01",,"pdf",1191
2018,10,"journal",163,"1530-9274","Perspectives on Science","http://muse.jhu.edu/journal/163","1998-04-01",,"html",493
2018,10,"journal",163,"1530-9274","Perspectives on Science","http://muse.jhu.edu/journal/163","1998-04-01",,"pdf",339
2018,10,"journal",165,"1531-328x","The Harvard International Journal of...","http://muse.jhu.edu/journal/165","1999-07-01",,"html",93
2018,10,"journal",165,"1531-328x","The Harvard International Journal of...","http://muse.jhu.edu/journal/165","1999-07-01",,"pdf",21
2018,10,"journal",193,"1531-4715","TDR: The Drama Review","http://muse.jhu.edu/journal/193","1999-08-01",,"html",2910
2018,10,"journal",193,"1531-4715","TDR: The Drama Review","http://muse.jhu.edu/journal/193","1999-08-01",,"pdf",1569
2018,10,"journal",209,"1530-9177","The Washington Quarterly","http://muse.jhu.edu/journal/209","1999-12-01",,"html",736
2018,10,"journal",209,"1530-9177","The Washington Quarterly","http://muse.jhu.edu/journal/209","1999-12-01",,"pdf",449
2018,10,"journal",219,"1536-0091","Global Environmental Politics","http://muse.jhu.edu/journal/219","2003-04-17",,"html",3329
2018,10,"journal",219,"1536-0091","Global Environmental Politics","http://muse.jhu.edu/journal/219","2003-04-17",,"pdf",2401
2018,10,"journal",554,"1558-2485","Innovations: Technology, Governance, Globalization","http://muse.jhu.edu/journal/554","2012-07-11",,"html",100
2018,10,"journal",554,"1558-2485","Innovations: Technology, Governance, Globalization","http://muse.jhu.edu/journal/554","2012-07-11",,"pdf",33
2018,10,"journal",675,"1937-2108","African Arts","http://muse.jhu.edu/journal/675","2016-05-04",,"html",198
2018,10,"journal",675,"1937-2108","African Arts","http://muse.jhu.edu/journal/675","2016-05-04",,"pdf",173
2018,11,"journal",3,"1536-0075","The American Journal of Bioethics","http://muse.jhu.edu/journal/3","2002-02-01",,"html",299
2018,11,"journal",3,"1536-0075","The American Journal of Bioethics","http://muse.jhu.edu/journal/3","2002-02-01",,"pdf",179
2018,11,"journal",34,"1531-5169","Computer Music Journal","http://muse.jhu.edu/journal/34","2001-03-01",,"html",574
2018,11,"journal",34,"1531-5169","Computer Music Journal","http://muse.jhu.edu/journal/34","2001-03-01",,"pdf",405
2018,11,"journal",43,"1531-3298","Journal of Cold War Studies","http://muse.jhu.edu/journal/43","1999-01-01",,"html",4640
2018,11,"journal",43,"1531-3298","Journal of Cold War Studies","http://muse.jhu.edu/journal/43","1999-01-01",,"pdf",2105
2018,11,"journal",83,"1531-5088","International Organization","http://muse.jhu.edu/journal/83","2002-02-01",,"html",138
2018,11,"journal",83,"1531-5088","International Organization","http://muse.jhu.edu/journal/83","2002-02-01",,"pdf",86
2018,11,"journal",84,"1531-4804","International Security","http://muse.jhu.edu/journal/84","2001-03-01",,"html",8535
2018,11,"journal",84,"1531-4804","International Security","http://muse.jhu.edu/journal/84","2001-03-01",,"pdf",21376
2018,11,"journal",94,"1530-9169","Journal of Interdisciplinary History","http://muse.jhu.edu/journal/94","1999-05-01",,"html",4500
2018,11,"journal",94,"1530-9169","Journal of Interdisciplinary History","http://muse.jhu.edu/journal/94","1999-05-01",,"pdf",1690
2018,11,"journal",116,"1530-9282","Leonardo","http://muse.jhu.edu/journal/116","2001-02-01",,"html",2962
2018,11,"journal",116,"1530-9282","Leonardo","http://muse.jhu.edu/journal/116","2001-02-01",,"pdf",4498
2018,11,"journal",117,"1530-9150","Linguistic Inquiry","http://muse.jhu.edu/journal/117","2000-10-01",,"html",753
2018,11,"journal",117,"1530-9150","Linguistic Inquiry","http://muse.jhu.edu/journal/117","2000-10-01",,"pdf",1100
2018,11,"journal",119,"1531-4812","Leonardo Music Journal","http://muse.jhu.edu/journal/119","2000-12-01",,"html",583
2018,11,"journal",119,"1531-4812","Leonardo Music Journal","http://muse.jhu.edu/journal/119","2000-12-01",,"pdf",366
2018,11,"journal",149,"1537-9477","PAJ: A Journal of Performance and Art","http://muse.jhu.edu/journal/149","1996-01-01",,"html",1553
2018,11,"journal",149,"1537-9477","PAJ: A Journal of Performance and Art","http://muse.jhu.edu/journal/149","1996-01-01",,"pdf",1277
2018,11,"journal",163,"1530-9274","Perspectives on Science","http://muse.jhu.edu/journal/163","1998-04-01",,"html",633
2018,11,"journal",163,"1530-9274","Perspectives on Science","http://muse.jhu.edu/journal/163","1998-04-01",,"pdf",458
2018,11,"journal",165,"1531-328x","The Harvard International Journal of...","http://muse.jhu.edu/journal/165","1999-07-01",,"html",111
2018,11,"journal",165,"1531-328x","The Harvard International Journal of...","http://muse.jhu.edu/journal/165","1999-07-01",,"pdf",32
2018,11,"journal",193,"1531-4715","TDR: The Drama Review","http://muse.jhu.edu/journal/193","1999-08-01",,"html",2980
2018,11,"journal",193,"1531-4715","TDR: The Drama Review","http://muse.jhu.edu/journal/193","1999-08-01",,"pdf",1638
2018,11,"journal",209,"1530-9177","The Washington Quarterly","http://muse.jhu.edu/journal/209","1999-12-01",,"html",868
2018,11,"journal",209,"1530-9177","The Washington Quarterly","http://muse.jhu.edu/journal/209","1999-12-01",,"pdf",582
2018,11,"journal",219,"1536-0091","Global Environmental Politics","http://muse.jhu.edu/journal/219","2003-04-17",,"html",2983
2018,11,"journal",219,"1536-0091","Global Environmental Politics","http://muse.jhu.edu/journal/219","2003-04-17",,"pdf",2198
2018,11,"journal",554,"1558-2485","Innovations: Technology, Governance, Globalization","http://muse.jhu.edu/journal/554","2012-07-11",,"html",74
2018,11,"journal",554,"1558-2485","Innovations: Technology, Governance, Globalization","http://muse.jhu.edu/journal/554","2012-07-11",,"pdf",26
2018,11,"journal",675,"1937-2108","African Arts","http://muse.jhu.edu/journal/675","2016-05-04",,"html",288
2018,11,"journal",675,"1937-2108","African Arts","http://muse.jhu.edu/journal/675","2016-05-04",,"pdf",163
2018,12,"journal",3,"1536-0075","The American Journal of Bioethics","http://muse.jhu.edu/journal/3","2002-02-01",,"html",165
2018,12,"journal",3,"1536-0075","The American Journal of Bioethics","http://muse.jhu.edu/journal/3","2002-02-01",,"pdf",133
2018,12,"journal",34,"1531-5169","Computer Music Journal","http://muse.jhu.edu/journal/34","2001-03-01",,"html",320
2018,12,"journal",34,"1531-5169","Computer Music Journal","http://muse.jhu.edu/journal/34","2001-03-01",,"pdf",233
2018,12,"journal",43,"1531-3298","Journal of Cold War Studies","http://muse.jhu.edu/journal/43","1999-01-01",,"html",2990
2018,12,"journal",43,"1531-3298","Journal of Cold War Studies","http://muse.jhu.edu/journal/43","1999-01-01",,"pdf",1378
2018,12,"journal",83,"1531-5088","International Organization","http://muse.jhu.edu/journal/83","2002-02-01",,"html",83
2018,12,"journal",83,"1531-5088","International Organization","http://muse.jhu.edu/journal/83","2002-02-01",,"pdf",45
2018,12,"journal",84,"1531-4804","International Security","http://muse.jhu.edu/journal/84","2001-03-01",,"html",5381
2018,12,"journal",84,"1531-4804","International Security","http://muse.jhu.edu/journal/84","2001-03-01",,"pdf",11679
2018,12,"journal",94,"1530-9169","Journal of Interdisciplinary History","http://muse.jhu.edu/journal/94","1999-05-01",,"html",2860
